,item_brand,item_name,item_price,item_link
94,Marc Fisher,Lansly Lace-Up Booties,$54.93,https://www.macys.com/shop/product/marc-fisher-lansly-lace-up-booties?ID=10125864&CategoryID=56233
95,Style & Co,"Women's Myrrah Perforated Ankle Booties, Created for Macy's",$37.93,https://www.macys.com/shop/product/style-co-womens-myrrah-perforated-ankle-booties-created-for-macys?ID=10423335&CategoryID=56233
96,BCBGeneration,Aliana Over-The-Knee Boots,$78.93,https://www.macys.com/shop/product/bcbgeneration-aliana-over-the-knee-boots?ID=10479775&CategoryID=56233
97,MICHAEL Michael Kors,Blakely Rain Booties,$51.73,https://www.macys.com/shop/product/michael-michael-kors-blakely-rain-booties?ID=10484690&CategoryID=56233
98,Giani Bernini,"Rozario Memory-Foam Dress Boots, Created for Macy's",$75.93,https://www.macys.com/shop/product/giani-bernini-rozario-memory-foam-dress-boots-created-for-macys?ID=10423305&CategoryID=56233
99,Bandolino,Bari Pointy Toe Booties,$49.43,https://www.macys.com/shop/product/bandolino-bari-pointy-toe-booties?ID=10436786&CategoryID=56233
100,Bar III,"Gatlin Block-Heel Booties, Created for Macy's",$44.63,https://www.macys.com/shop/product/bar-iii-gatlin-block-heel-booties-created-for-macys?ID=10478277&CategoryID=56233
101,Kenneth Cole Reaction,Women's Salt Zip Cozy Booties,$53.53,https://www.macys.com/shop/product/kenneth-cole-reaction-womens-salt-zip-cozy-booties?ID=10324447&CategoryID=56233
102,Charter Club,"Avaa Pumps, Created For Macy's",$32.93,https://www.macys.com/shop/product/charter-club-avaa-pumps-created-for-macys?ID=10478312&CategoryID=56233
103,INC International Concepts,"INC Khione Vinyl-Pieced Multi-Animal Pumps, Created for Macy's",$48.93,https://www.macys.com/shop/product/inc-khione-vinyl-pieced-multi-animal-pumps-created-for-macys?ID=10397619&CategoryID=56233
104,Thalia Sodi,"Tully Ankle Booties, Created for Macy's",$39.63,https://www.macys.com/shop/product/thalia-sodi-tully-ankle-booties-created-for-macys?ID=10423307&CategoryID=56233
105,Calvin Klein,Women's Lisette Flats,$54.03,https://www.macys.com/shop/product/calvin-klein-womens-lisette-flats?ID=10375224&CategoryID=56233
106,Style & Co,"Angelynn Flats, Created for Macy's",$23.93,https://www.macys.com/shop/product/style-co-angelynn-flats-created-for-macys?ID=10423344&CategoryID=56233
107,Easy Spirit,Evony Booties,$49.43,https://www.macys.com/shop/product/easy-spirit-evony-booties?ID=10360804&CategoryID=56233
108,Giani Bernini,"Dailyn Memory Foam Loafers, Created for Macy's",$41.93,https://www.macys.com/shop/product/giani-bernini-dailyn-memory-foam-loafers-created-for-macys?ID=10478280&CategoryID=56233
109,Skechers,Women's Ultra Flex Enchanted Winter Walking Sneakers from Finish Line,$30.00,https://www.macys.com/shop/product/skechers-womens-ultra-flex-enchanted-winter-walking-sneakers-from-finish-line?ID=10407215&CategoryID=56233
110,Sperry,Women's Saltwater Chevron Quilted Duck Booties,$120.00,https://www.macys.com/shop/product/sperry-womens-saltwater-chevron-quilted-duck-booties?ID=10483339&CategoryID=56233
111,DKNY,"Abri Wedge Booties, Created For Macy's",$99.99,https://www.macys.com/shop/product/dkny-abri-wedge-booties-created-for-macys?ID=9900804&CategoryID=56233
112,Giani Bernini,"Eatonn Memory-Foam Wedges, Created for Macy's",$37.23,https://www.macys.com/shop/product/giani-bernini-eatonn-memory-foam-wedges-created-for-macys?ID=10478314&CategoryID=56233
113,Tahari Girls,Izabelle D'orsay Flats,$28.93,https://www.macys.com/shop/product/tahari-girls-izabelle-dorsay-flats?ID=10479801&CategoryID=56233
114,Rialto,Cairo Booties,$29.93,https://www.macys.com/shop/product/rialto-cairo-booties?ID=10461939&CategoryID=56233
115,Jessica Simpson,Hilrie Wedge Booties,$70.03,https://www.macys.com/shop/product/jessica-simpson-hilrie-wedge-booties?ID=10484429&CategoryID=56233
