,item_name,item_price,item_color,item_link
68,CeCe Clip Dot Sleeve Sweater,$42.72,"['RICH BLACK', 'ANTIQ WHITE']",https://shop.nordstrom.com/s/cece-clip-dot-sleeve-sweater/5417143?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=rich%20black
69,Sam Edelman Pillow Collar Belted Puffer Coat,$89.98,[],https://shop.nordstrom.com/s/sam-edelman-pillow-collar-belted-puffer-coat/5384214?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=pink
70,UGG® Bailey Button II Boot (Women),$119.95,"['TERRACOTTA SUEDE', 'PINK CRYSTAL SUEDE']",https://shop.nordstrom.com/s/ugg-bailey-button-ii-boot-women/5533977?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=terracotta%20suede
71,Tory Burch Miller Flip Flop (Women),$132.66,[],https://shop.nordstrom.com/s/tory-burch-miller-flip-flop-women/5481288?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=spark%20gold
72,UGG® Polk Boot (Women),$101.90,[],https://shop.nordstrom.com/s/ugg-polk-boot-women/5324744?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black%20leather
73,UGG® Classic Bling Mini Bootie (Women),$101.96,[],https://shop.nordstrom.com/s/ugg-classic-bling-mini-bootie-women/5533993?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black
74,Thread & Supply Fleece Lined Quilted Utility Jacket,$52.80,[],https://shop.nordstrom.com/s/thread-supply-fleece-lined-quilted-utility-jacket/5276973?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=blush
75,PJ Salvage Just Peachy Pajamas,$58.80,"['IVORY', 'ECRU', 'CHEVRON NAVY', 'SLATE MELANGE']",https://shop.nordstrom.com/s/pj-salvage-just-peachy-pajamas/5541855?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=ivory
76,Steve Madden Talent d'Orsay Flat (Women),$47.96 – $91.95,[],https://shop.nordstrom.com/s/steve-madden-talent-dorsay-flat-women/5239387?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=rhinestone
77,Bobeau Rib Long Sleeve Fuzzy Top (Regular & Petite),$27.00,[],https://shop.nordstrom.com/s/bobeau-rib-long-sleeve-fuzzy-top-regular-petite/5545902?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=camo%20olive
